{{Maploc|50,50|['Cook-at', None, None, None, None];None|[[RS/Locs/Cooking range (ID: 114)|Cooking range (ID: 114)]]}}
{{Maploc|50,50|['Chop down', None, None, None, None];None|[[RS/Locs/Dead tree (ID: 1282)|Dead tree (ID: 1282)]]}}
{{Maploc|50,50|['Chop down', None, None, None, None];None|[[RS/Locs/Dead tree (ID: 1282)|Dead tree (ID: 1282)]]}}
{{Maploc|50,50|['Chop down', None, None, None, None];None|[[RS/Locs/Dead tree (ID: 1282)|Dead tree (ID: 1282)]]}}
{{Maploc|50,50|['Chop down', None, None, None, None];None|[[RS/Locs/Dead tree (ID: 1282)|Dead tree (ID: 1282)]]}}
{{Maploc|50,50|['Chop down', None, None, None, None];None|[[RS/Locs/Dead tree (ID: 1282)|Dead tree (ID: 1282)]]}}
{{Maploc|50,50|['Chop down', None, None, None, None];None|[[RS/Locs/Dead tree (ID: 1282)|Dead tree (ID: 1282)]]}}
{{Maploc|50,50|['Chop down', None, None, None, None];None|[[RS/Locs/Dead tree (ID: 1286)|Dead tree (ID: 1286)]]}}
{{Maploc|50,50|['Chop down', None, None, None, None];None|[[RS/Locs/Dead tree (ID: 1286)|Dead tree (ID: 1286)]]}}
{{Maploc|50,50|['Chop down', None, None, None, None];None|[[RS/Locs/Dead tree (ID: 1286)|Dead tree (ID: 1286)]]}}
{{Maploc|50,50|['Chop down', None, None, None, None];None|[[RS/Locs/Dead tree (ID: 1286)|Dead tree (ID: 1286)]]}}
{{Maploc|50,50|['Chop down', None, None, None, None];None|[[RS/Locs/Dead tree (ID: 1286)|Dead tree (ID: 1286)]]}}
{{Maploc|50,50|['Chop down', None, None, None, None];None|[[RS/Locs/Dead tree (ID: 1286)|Dead tree (ID: 1286)]]}}
{{Maploc|50,50|['Chop down', None, None, None, None];None|[[RS/Locs/Dead tree (ID: 1286)|Dead tree (ID: 1286)]]}}
{{Maploc|50,50|['Chop down', None, None, None, None];None|[[RS/Locs/Dead tree (ID: 1286)|Dead tree (ID: 1286)]]}}
{{Maploc|50,50|['Chop down', None, None, None, None];None|[[RS/Locs/Dead tree (ID: 1286)|Dead tree (ID: 1286)]]}}
{{Maploc|50,50|['Chop down', None, None, None, None];None|[[RS/Locs/Dead tree (ID: 1286)|Dead tree (ID: 1286)]]}}
{{Maploc|50,50|['Chop down', None, None, None, None];None|[[RS/Locs/Dead tree (ID: 1383)|Dead tree (ID: 1383)]]}}
{{Maploc|50,50|None;None|[[RS/Locs/Plant (ID: 1392)|Plant (ID: 1392)]]}}
{{Maploc|50,50|None;None|[[RS/Locs/Cooking Pots (ID: 5609)|Cooking Pots (ID: 5609)]]}}
{{Maploc|50,50|None;None|[[RS/Locs/Cooking Pots (ID: 5610)|Cooking Pots (ID: 5610)]]}}
{{Maploc|50,50|['Open', None, None, None, None];None|[[RS/Locs/Chest (ID: 6910)|Chest (ID: 6910)]]}}
{{Maploc|50,50|None;None|[[RS/Locs/Scroll desk (ID: 8718)|Scroll desk (ID: 8718)]]}}
{{Maploc|50,50|['Open', None, None, None, None];None|[[RS/Locs/Door (ID: 12348)|Door (ID: 12348)]]}}
{{Maploc|50,50|['Open', None, None, None, None];None|[[RS/Locs/Large door (ID: 12349)|Large door (ID: 12349)]]}}
{{Maploc|50,50|['Open', None, None, None, None];None|[[RS/Locs/Large door (ID: 12350)|Large door (ID: 12350)]]}}
{{Maploc|50,50|['Fill', None, None, None, None];None|[[RS/Locs/Water trough (ID: 14352)|Water trough (ID: 14352)]]}}
{{Maploc|50,50|['Fill', None, None, None, None];None|[[RS/Locs/Water barrel (ID: 14353)|Water barrel (ID: 14353)]]}}
{{Maploc|50,50|['Take-hammer', None, None, None, None];None|[[RS/Locs/Crate of hammers (ID: 15468)|Crate of hammers (ID: 15468)]]}}
{{Maploc|50,50|['Search', None, None, None, None];None|[[RS/Locs/Crate (ID: 21806)|Crate (ID: 21806)]]}}
{{Maploc|50,50|None;None|[[RS/Locs/Sage's backpack (ID: 33510)|Sage's backpack (ID: 33510)]]}}
{{Maploc|50,50|None;None|[[RS/Locs/Torch (ID: 33797)|Torch (ID: 33797)]]}}
{{Maploc|50,50|None;None|[[RS/Locs/Torch (ID: 33797)|Torch (ID: 33797)]]}}
{{Maploc|50,50|None;None|[[RS/Locs/Torch (ID: 33797)|Torch (ID: 33797)]]}}
{{Maploc|50,50|None;None|[[RS/Locs/Torch (ID: 33797)|Torch (ID: 33797)]]}}
{{Maploc|50,50|None;None|[[RS/Locs/Torch (ID: 33797)|Torch (ID: 33797)]]}}
{{Maploc|50,50|None;None|[[RS/Locs/Torch (ID: 33797)|Torch (ID: 33797)]]}}
