0, 0
0, 1
0, 2
1, 0
1, 1
1, 2
1, 4
1, 5
10, 10
10, 11
10, 12
10, 13
10, 14
10, 15
10, 17
10, 18
10, 19
10, 35
10, 36
10, 37
10, 38
10, 39
100, 100
100, 101
100, 102
100, 103
100, 104
100, 105
100, 106
100, 107
100, 108
100, 109
100, 110
100, 111
100, 112
100, 113
100, 114
100, 115
100, 116
100, 117
100, 118
100, 119
100, 120
100, 121
100, 122
100, 123
100, 124
100, 125
100, 290
100, 291
100, 292
100, 293
100, 296
100, 297
100, 298
100, 299
100, 300
100, 301
100, 304
100, 305
100, 306
100, 307
100, 308
100, 309
100, 86
100, 87
100, 88
100, 89
100, 90
100, 91
100, 92
100, 93
100, 94
100, 95
100, 96
100, 97
100, 98
100, 99
101, 100
101, 101
101, 102
101, 103
101, 104
101, 105
101, 106
101, 107
101, 108
101, 109
101, 110
101, 111
101, 112
101, 113
101, 114
101, 115
101, 116
101, 117
101, 118
101, 119
101, 120
101, 121
101, 122
101, 123
101, 124
101, 125
101, 290
101, 291
101, 292
101, 293
101, 296
101, 297
101, 298
101, 299
101, 300
101, 301
101, 304
101, 305
101, 306
101, 307
101, 308
101, 309
101, 86
101, 87
101, 88
101, 89
101, 90
101, 91
101, 92
101, 93
101, 94
101, 95
101, 96
101, 97
101, 98
101, 99
102, 100
102, 101
102, 102
102, 103
102, 104
102, 105
102, 106
102, 107
102, 108
102, 109
102, 110
102, 111
102, 112
102, 113
102, 114
102, 115
102, 116
102, 117
102, 118
102, 119
102, 120
102, 121
102, 122
102, 123
102, 124
102, 125
102, 286
102, 287
102, 292
102, 293
102, 294
102, 295
102, 300
102, 301
102, 308
102, 309
102, 86
102, 87
102, 88
102, 89
102, 90
102, 91
102, 92
102, 93
102, 94
102, 95
102, 96
102, 97
102, 98
102, 99
103, 100
103, 101
103, 102
103, 103
103, 104
103, 105
103, 106
103, 107
103, 108
103, 109
103, 110
103, 111
103, 112
103, 113
103, 114
103, 115
103, 116
103, 117
103, 118
103, 119
103, 120
103, 121
103, 122
103, 123
103, 124
103, 125
103, 286
103, 287
103, 292
103, 293
103, 294
103, 295
103, 300
103, 301
103, 86
103, 87
103, 88
103, 89
103, 90
103, 91
103, 92
103, 93
103, 94
103, 95
103, 96
103, 97
103, 98
103, 99
104, 100
104, 101
104, 102
104, 103
104, 104
104, 105
104, 106
104, 107
104, 108
104, 109
104, 110
104, 111
104, 112
104, 113
104, 114
104, 115
104, 116
104, 117
104, 118
104, 119
104, 120
104, 121
104, 122
104, 123
104, 124
104, 125
104, 304
104, 305
104, 306
104, 307
104, 90
104, 91
104, 92
104, 93
104, 94
104, 95
104, 96
104, 97
104, 98
104, 99
105, 100
105, 101
105, 102
105, 103
105, 104
105, 105
105, 106
105, 107
105, 108
105, 109
105, 110
105, 111
105, 112
105, 113
105, 114
105, 115
105, 116
105, 117
105, 118
105, 119
105, 120
105, 121
105, 122
105, 123
105, 124
105, 125
105, 304
105, 305
105, 306
105, 307
105, 90
105, 91
105, 92
105, 93
105, 94
105, 95
105, 96
105, 97
105, 98
105, 99
106, 100
106, 101
106, 102
106, 103
106, 104
106, 105
106, 106
106, 107
106, 108
106, 109
106, 110
106, 111
106, 300
106, 301
106, 304
106, 305
106, 308
106, 309
106, 96
106, 97
106, 98
106, 99
107, 100
107, 101
107, 102
107, 103
107, 104
107, 105
107, 106
107, 107
107, 108
107, 109
107, 110
107, 111
107, 300
107, 301
107, 304
107, 305
107, 308
107, 309
107, 96
107, 97
107, 98
107, 99
108, 100
108, 101
108, 102
108, 103
108, 104
108, 105
108, 106
108, 107
108, 108
108, 109
108, 110
108, 111
108, 296
108, 297
108, 302
108, 303
108, 306
108, 307
108, 310
108, 311
108, 96
108, 97
108, 98
108, 99
109, 100
109, 101
109, 102
109, 103
109, 104
109, 105
109, 106
109, 107
109, 108
109, 109
109, 110
109, 111
109, 296
109, 297
109, 302
109, 303
109, 306
109, 307
109, 310
109, 311
109, 96
109, 97
109, 98
109, 99
11, 10
11, 11
11, 12
11, 13
11, 14
11, 15
11, 17
11, 18
11, 19
11, 36
11, 37
11, 38
11, 39
11, 40
110, 102
110, 103
110, 106
110, 107
110, 108
110, 109
110, 110
110, 111
110, 302
110, 303
110, 308
110, 309
110, 310
110, 311
111, 102
111, 103
111, 106
111, 107
111, 108
111, 109
111, 110
111, 111
